_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
674d423786fa6e365ff820df,,85.01,99.2,85.01,76.17,124;0;0;0,words,25,-1,9,17.5,0,28.39,false,false,english,none,normal,false,false,false,,1733116471000
674d41ff86fa6e365ff81ec4,,76.22,94.2,80.95,69.72,129;6;0;0,words,25,-1,9,20.31,0,17.22,false,false,english,none,normal,false,false,false,,1733116415000
674d41cf86fa6e365ff81cfd,,84.76,96.18,91.12,74.46,120;2;0;0,words,25,-1,4,16.99,0,11.31,false,false,english,none,normal,false,false,false,,1733116367000
674d418b86fa6e365ff81a8e,,91.9,98.59,91.9,68.89,140;0;0;0,words,25,-1,0,18.28,0,0,false,false,english,none,normal,false,false,false,,1733116299000
674d417886fa6e365ff819df,,75.13,91.94,88.14,66.35,104;6;0;0,words,25,-1,2,16.61,0,3.38,false,false,english,none,normal,false,false,false,,1733116280000
674d411686fa6e365ff815db,,84.01,96.53,93.78,76.04,129;3;0;0,words,25,-1,1,18.43,0,1.27,false,false,english,none,normal,false,false,false,,1733116182000
674d400b86fa6e365ff80b99,,81.34,92.31,90.24,79.14,128;8;1;0,words,25,-1,3,18.88,0,6.41,false,false,english,none,normal,false,false,false,,1733115915000
674d3fed86fa6e365ff80a68,,77.24,98.39,81.17,70.44,118;1;0;0,words,25,-1,1,18.33,0,8.92,false,false,english,none,normal,false,false,false,,1733115885000
674d3fcf86fa6e365ff80938,,82.42,95.16,89.65,68.4,114;4;0;2,words,25,-1,14,16.6,0,47.16,false,false,english,none,normal,false,false,false,,1733115855000
674d3f8186fa6e365ff80628,,80.2,96.38,84.55,72.93,129;2;0;0,words,25,-1,0,19.3,0,0,false,false,english,none,normal,false,false,false,,1733115777000
674d3f6a86fa6e365ff80538,,88.02,97.04,92.88,74.76,127;2;0;0,words,25,-1,8,17.31,0,42.71,false,false,english,none,normal,false,false,false,,1733115754000
674d3f2086fa6e365ff80251,,91.49,98.45,91.49,75.52,127;0;0;0,words,25,-1,1,16.66,0,1.35,false,false,english,none,normal,false,false,false,,1733115680000
674d3f0986fa6e365ff8016e,,69.26,91.04,89.24,68.64,104;4;3;1,words,25,-1,0,18.02,0,0,false,false,english,none,normal,false,false,false,,1733115657000
674d3ef686fa6e365ff800c8,,89.89,96.85,94.38,70.56,120;2;0;0,words,25,-1,4,16.02,0,11.43,false,false,english,none,normal,false,false,false,,1733115638000
674d3ed486fa6e365ff7ff74,,84.94,92.31,94.37,84.1,117;6;2;0,words,25,-1,4,16.53,0,7.05,false,false,english,none,normal,false,false,false,,1733115603000
674d3eb386fa6e365ff7fe5a,,83.04,94.74,91.02,80.18,52;2;0;0,words,10,-1,0,7.51,0,0,false,false,english,none,normal,false,false,false,,1733115571000
674d3eaa86fa6e365ff7fe09,,81.46,96.3,81.46,58.81,52;0;0;0,words,10,-1,0,7.66,0,0,false,false,english,none,normal,false,false,false,,1733115562000
674d3ea286fa6e365ff7fdaa,,96.86,100,96.86,78.06,43;0;0;0,words,10,-1,1,5.33,0,4.17,false,false,english,none,normal,false,false,false,,1733115554000
674d3e9586fa6e365ff7fd2f,,89.84,98.08,89.84,78.58,51;0;0;0,words,10,-1,1,6.81,0,1.8,false,false,english,none,normal,false,false,false,,1733115540000
674d3e8986fa6e365ff7fcc9,,81.91,95.65,91.31,85.28,61;0;1;0,words,10,-1,7,8.94,0,16.35,false,false,english,none,normal,false,false,false,,1733115529000
674d3e6886fa6e365ff7fb98,,74.16,88.89,97.67,84.66,41;4;0;0,words,10,-1,0,6.63,0,0,false,false,english,none,normal,false,false,false,,1733115496000
674d3e6086fa6e365ff7fb4f,,100.37,100,100.37,67.94,52;0;0;0,words,10,-1,0,6.22,0,0,false,false,english,none,normal,false,false,false,,1733115488000
674d3e5786fa6e365ff7fafd,,91.2,100,91.2,82.49,51;0;0;0,words,10,-1,7,6.71,0,11.7,false,false,english,none,normal,false,false,false,,1733115479000
674d3e3d86fa6e365ff7fa17,,96.07,100,96.07,82.14,56;0;0;0,words,10,-1,3,6.99,0,6.58,false,false,english,none,normal,false,false,false,,1733115453000
674d3e2b86fa6e365ff7f98f,,100.28,100,100.28,86.98,49;0;0;0,words,10,-1,1,5.86,0,5.24,false,false,english,none,normal,false,false,false,,1733115435000
674d3e1e86fa6e365ff7f907,,100.1,100,100.1,89.53,55;0;0;0,words,10,-1,8,6.59,0,14.32,false,false,english,none,normal,false,false,false,,1733115422000
674d3e0086fa6e365ff7f803,,99.36,100,99.36,74.69,53;0;0;0,words,10,-1,0,6.4,0,0,false,false,english,none,normal,false,false,false,,1733115392000
674d3df886fa6e365ff7f7b9,,99.72,100,99.72,86.81,49;0;0;0,words,10,-1,3,5.9,0,6.13,false,false,english,none,normal,false,false,false,,1733115384000
674d3de886fa6e365ff7f722,,84.65,96.43,96.74,73.01,49;1;0;0,words,10,-1,1,6.95,0,1.43,false,false,english,none,normal,false,false,false,,1733115368000
674d3bd186fa6e365ff7e386,,71.6,95.31,75.5,72.96,716;14;3;0,time,120,-1,0,120,0,0,false,false,english,none,normal,false,false,false,,1733114833000
674d2cf986fa6e365ff7568d,,74.6,93.14,81.5,71.9,746;25;3;5,time,120,-1,2,120,0,4.13,false,false,english,none,normal,false,false,false,,1733111033000
674d2c5886fa6e365ff750a1,,75.8,94.81,79.7,70.98,758;21;2;0,time,120,-1,0,120,0,0,false,false,english,none,normal,false,false,false,,1733110872000
674d2bdd86fa6e365ff74ba8,,72.8,86.36,87.19,65.27,91;10;1;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1733110749000
674d2bcc86fa6e365ff74ad8,,83.99,88.52,97.59,82.69,105;9;3;0,time,15,-1,3,15,0,6.46,false,false,english,none,normal,false,false,false,,1733110732000
674d2bb086fa6e365ff749b5,,91.19,100,91.19,86.58,114;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1733110704000
674d2ba086fa6e365ff74909,,87.19,93.97,92.79,82.67,109;5;1;0,time,15,-1,3,15,0,7.44,false,false,english,none,normal,false,false,false,,1733110688000
674d2b8486fa6e365ff747e5,,87.2,100,87.2,81.56,109;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1733110660000
674d2b7386fa6e365ff74724,,73.59,92.04,89.59,76.32,92;5;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1733110643000
674d2b6286fa6e365ff7468e,,86.39,95.08,97.59,84.53,108;3;1;0,time,15,-1,2,15,0,8.46,false,false,english,none,normal,false,false,false,,1733110626000
674d2b2e86fa6e365ff74496,true,109.91,100,109.91,64.34,47;0;0;0,words,10,-1,0,5.13,0,0,false,false,english,none,normal,false,false,false,,1733110574000
674d2b2886fa6e365ff74456,,89.6,87.23,105.28,75.1,40;4;1;0,words,10,-1,1,5.36,0,0.01,false,false,english,none,normal,false,false,false,,1733110568000
674d2b1d86fa6e365ff743dc,,92.87,100,92.87,83.37,52;0;0;0,words,10,-1,4,6.72,0,10.74,false,false,english,none,normal,false,false,false,,1733110557000
674d2aff86fa6e365ff7428d,true,108.78,100,108.78,88.11,51;0;0;0,words,10,-1,0,5.63,0,0,false,false,english,none,normal,false,false,false,,1733110527000
674d2af886fa6e365ff74240,,88.25,94.23,104.3,86.89,44;2;0;0,words,10,-1,2,5.98,0,5.42,false,false,english,none,normal,false,false,false,,1733110520000
674d2ae986fa6e365ff741b4,,95.93,100,95.93,70.61,50;0;0;0,words,10,-1,0,6.25,0,0,false,false,english,none,normal,false,false,false,,1733110505000
674d2ae086fa6e365ff74153,,96.91,100,96.91,89.64,47;0;0;0,words,10,-1,2,5.82,0,2.17,false,false,english,none,normal,false,false,false,,1733110496000
674d2ad286fa6e365ff740bb,,80.79,93.52,86.39,78.36,101;4;1;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1733110481000
674d2ac186fa6e365ff74002,,75.2,90.99,88.8,81.67,94;6;1;0,time,15,-1,1,15,0,1.73,false,false,english,none,normal,false,false,false,,1733110465000
674d2aae86fa6e365ff73f39,,85.6,96.64,95.2,85.84,107;2;1;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1733110446000
674d2a9886fa6e365ff73e61,,89.95,97.67,89.95,76.57,42;0;0;0,words,10,-1,0,5.6,0,0,false,false,english,none,normal,false,false,false,,1733110424000
674d2a9086fa6e365ff73e0b,,104.18,100,104.18,85.86,50;0;0;0,words,10,-1,3,5.76,0,5.67,false,false,english,none,normal,false,false,false,,1733110416000
674d2a7486fa6e365ff73cfe,,75.4,98.45,76.6,80.1,377;0;1;0,time,60,-1,2,60,0,3.37,false,false,english,none,normal,false,false,false,,1733110388000
674d2a2d86fa6e365ff739f5,,85.59,98.2,88.79,83.78,107;0;1;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1733110317000
674c798d86fa6e365ff0aba9,,91.2,100,91.2,77.57,114;0;0;0,time,15,-1,12,15,0,36.89,false,false,english,none,normal,false,false,false,,1733065101000
674c794d86fa6e365ff0a885,,83.2,100,83.2,76.17,104;0;0;0,time,15,-1,1,15,0,10.43,false,false,english,none,normal,false,false,false,,1733065037000
674c793286fa6e365ff0a725,,82.39,98.1,82.39,80.48,103;0;0;0,time,15,-1,1,15,0,3.85,false,false,english,none,normal,false,false,false,,1733065010000
674c791c86fa6e365ff0a618,,80.8,100,80.8,79.37,101;0;0;0,time,15,-1,2,15,0,9.17,false,false,english,none,normal,false,false,false,,1733064988000
674c790286fa6e365ff0a4f0,,80.8,97.25,87.2,86.27,101;2;0;0,time,15,-1,5,15,0,16.09,false,false,english,none,normal,false,false,false,,1733064962000
674c78db86fa6e365ff0a322,,79.99,98.1,83.99,77.87,100;2;0;0,time,15,-1,3,15,0,12.04,false,false,english,none,normal,false,false,false,,1733064923000
674c78bc86fa6e365ff0a1a9,,83.99,99.06,83.99,86.86,105;0;0;0,time,15,-1,3,15,0,3.78,false,false,english,none,normal,false,false,false,,1733064892000
674c78a686fa6e365ff0a086,,81.6,100,81.6,80.49,102;0;0;0,time,15,-1,2,15,0,2.81,false,false,english,none,normal,false,false,false,,1733064870000
674c788c86fa6e365ff09f52,,64.39,95.88,66.39,72.92,161;2;0;0,time,30,-1,2,30,0,2.13,false,false,english,none,normal,false,false,false,,1733064843000
674c786886fa6e365ff09db7,,71.2,96.39,77.2,74.21,178;4;0;0,time,30,-1,3,30,0,15.62,false,false,english,none,normal,false,false,false,,1733064808000
674c764f86fa6e365ff08326,,82.79,96.38,87.19,81.29,207;2;1;0,time,30,-1,2,30,0,2.27,false,false,english,none,normal,false,false,false,,1733064271000
674c761486fa6e365ff08033,,85.18,99.07,86.38,74.8,213;1;0;1,time,30,-1,1,30.01,0,5.62,false,false,english,none,normal,false,false,false,,1733064212000
674c75e286fa6e365ff07de3,,84,96.36,88,78.78,210;4;2;0,time,30,-1,3,30,0,8.36,false,false,english,none,normal,false,false,false,,1733064162000
674c75ab86fa6e365ff07b3d,,75.2,96.42,80.7,76.67,752;16;2;2,time,120,-1,3,120,0,7.58,false,false,english,none,normal,false,false,false,,1733064107000
674c752186fa6e365ff07500,,70.4,93.52,77.1,70.55,704;26;0;0,time,120,-1,4,120,0,46.13,false,false,english,none,normal,false,false,false,,1733063969000
674c746686fa6e365ff06bcf,,91.98,100,91.98,85.98,115;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1733063782000
674c60b086fa6e365fef7a95,,85.59,97.35,90.38,83.3,107;2;0;0,time,15,-1,2,15,0,5.41,false,false,english,none,normal,false,false,false,,1733058736000
674c609286fa6e365fef7910,,59.99,96.25,63.99,52.8,75;2;0;0,time,15,-1,1,15,1,1.54,false,false,english,none,normal,false,false,false,,1733058706000
674c607f86fa6e365fef782b,,76.8,90.18,89.6,87.19,96;8;1;0,time,15,-1,5,15,0,12.55,false,false,english,none,normal,false,false,false,,1733058687000
674c605d86fa6e365fef767f,,82.4,100,82.4,79.5,103;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1733058653000
674c604d86fa6e365fef75c3,,78.39,97.03,78.39,77.34,98;0;0;0,time,15,-1,1,15,0,7.86,false,false,english,none,normal,false,false,false,,1733058637000
674c603386fa6e365fef7479,,76,97.96,76,82.44,95;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1733058611000
674c601e86fa6e365fef7363,,79.99,100,79.99,78.32,100;0;0;0,time,15,-1,3,15,0,10.67,false,false,english,none,normal,false,false,false,,1733058590000
674c5fff86fa6e365fef7204,,67.2,88.66,76,77.51,84;7;1;0,time,15,-1,1,15,0,1.1,false,false,english,none,normal,false,false,false,,1733058559000
674c5d3086fa6e365fef5099,,80.79,100,80.79,79.37,101;0;0;0,time,15,-1,7,15,0,25.4,false,false,english,none,normal,false,false,false,,1733057840000
674c5d0086fa6e365fef4e62,,75.99,98.97,77.59,73,95;1;0;0,time,15,-1,18,15,0,88.17,false,false,english,none,normal,false,false,false,,1733057792000
674c5c8486fa6e365fef491d,,71.98,98.97,77.58,74.21,90;0;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1733057668000
674c5c7486fa6e365fef486c,,79.2,100,79.2,85.57,99;0;0;0,time,15,-1,2,15,0,5.9,false,false,english,none,normal,false,false,false,,1733057652000
674c5c5886fa6e365fef470f,,71.19,88.57,82.39,73.92,89;6;1;1,time,15,-1,1,15,0,2.33,false,false,english,none,normal,false,false,false,,1733057624000
674c5bee86fa6e365fef4265,,79.99,99.01,79.99,73.18,100;0;0;0,time,15,-1,5,15,0,25.28,false,false,english,none,normal,false,false,false,,1733057518000
674c598d86fa6e365fef2792,,87.99,100,87.99,87.14,110;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1733056909000
674c597c86fa6e365fef26e0,,80.79,97.2,85.59,82.37,101;2;0;0,time,15,-1,5,15,0,10.43,false,false,english,none,normal,false,false,false,,1733056892000
674c595a86fa6e365fef2520,,88.8,100,88.8,80.39,111;0;0;0,time,15,-1,2,15,0,2.4,false,false,english,none,normal,false,false,false,,1733056858000
674c594586fa6e365fef2430,,74.39,90.83,87.19,82.26,93;7;0;1,time,15,-1,3,15,0,11.2,false,false,english,none,normal,false,false,false,,1733056837000
674c592686fa6e365fef22e3,,84.8,97.27,88,77.36,106;2;0;0,time,15,-1,2,15,0,8.4,false,false,english,none,normal,false,false,false,,1733056806000
674c590686fa6e365fef217b,,90.81,100,90.81,81.42,125;0;0;0,words,25,-1,2,16.52,0,5.32,false,false,english,none,normal,false,false,false,,1733056774000
674c58ed86fa6e365fef2070,,71.51,93.02,83.11,77.39,111;6;0;0,words,25,-1,4,18.63,0,18.5,false,false,english,none,normal,false,false,false,,1733056749000
674c58c386fa6e365fef1ea9,,82.59,96.83,82.59,69.97,122;0;0;0,words,25,-1,8,17.73,0,33.43,false,false,english,none,normal,false,false,false,,1733056707000
674c588886fa6e365fef1bd7,,82.76,98.56,85.85,79.92,134;1;0;0,words,25,-1,1,19.43,0,3.59,false,false,english,none,normal,false,false,false,,1733056648000
674c586e86fa6e365fef1ac4,,72.22,95.56,79.32,69.05,122;2;1;0,words,25,-1,1,20.27,0,1.08,false,false,english,none,normal,false,false,false,,1733056622000
674c585686fa6e365fef19aa,,70.04,93.65,76.18,65.97,114;4;0;1,words,25,-1,3,19.53,0,5.03,false,false,english,none,normal,false,false,false,,1733056598000
674c583886fa6e365fef1885,,84.07,96.43,88.56,78.19,131;2;0;0,words,25,-1,11,18.7,0,70.45,false,false,english,none,normal,false,false,false,,1733056568000
674c57d586fa6e365fef1434,,78.72,97.83,82.33,77.29,131;2;0;0,words,25,-1,2,19.97,0,15.71,false,false,english,none,normal,false,false,false,,1733056469000
674c579986fa6e365fef117c,,89.93,100,89.93,82.43,132;0;0;0,words,25,-1,4,17.61,0,12.77,false,false,english,none,normal,false,false,false,,1733056409000
674c577686fa6e365fef100b,,69.74,99.21,69.74,69.78,126;0;0;0,words,25,-1,11,21.68,0,44.63,false,false,english,none,normal,false,false,false,,1733056374000
674c572686fa6e365fef0cb3,,81.01,97.73,81.01,67.72,129;0;0;0,words,25,-1,0,19.11,0,0,false,false,english,none,normal,false,false,false,,1733056294000
674c571186fa6e365fef0bd3,,84.37,97.83,88.2,66.11,132;2;0;0,words,25,-1,1,18.77,1,0.91,false,false,english,none,normal,false,false,false,,1733056272000
674c525486fa6e365feed933,,75.97,90.83,89.37,70.26,102;8;0;1,words,25,-1,0,16.11,0,0,false,false,english,none,normal,false,false,false,,1733055060000
674c524286fa6e365feed88a,,74.36,94.16,83.57,79.82,121;4;1;0,words,25,-1,13,19.53,0,30.49,false,false,english,none,normal,false,false,false,,1733055042000
674c520186fa6e365feed5f3,,87,97.58,92.2,74.35,117;2;0;0,words,25,-1,1,16.14,0,1.43,false,false,english,none,normal,false,false,false,,1733054977000
674c51e986fa6e365feed503,,82.09,93.89,91.92,74.17,117;5;1;0,words,25,-1,9,17.1,0,16.68,false,false,english,none,normal,false,false,false,,1733054953000
674c51b386fa6e365feed2d5,,75.3,95.83,75.3,54.41,46;0;0;0,words,10,-1,1,7.33,0,3.38,false,false,english,none,normal,false,false,false,,1733054899000
674c51a686fa6e365feed24c,,83.25,85.42,99.89,82.06,40;5;1;0,words,10,-1,6,5.77,0,14.95,false,false,english,none,normal,false,false,false,,1733054886000
674c518686fa6e365feed0f0,,84.55,92.45,95.34,82.75,47;2;1;0,words,10,-1,1,6.67,0,1.05,false,false,english,none,normal,false,false,false,,1733054854000
674c517c86fa6e365feed07c,,92.33,100,92.33,81.82,53;0;0;0,words,10,-1,0,6.89,0,0,false,false,english,none,normal,false,false,false,,1733054844000
674c517486fa6e365feed034,,82.97,91.23,92.93,66.77,50;2;1;0,words,10,-1,2,7.23,0,2.16,false,false,english,none,normal,false,false,false,,1733054836000
674c516886fa6e365feecf93,,89.51,92.86,104.43,72.45,48;2;1;0,words,10,-1,0,6.43,0,0,false,false,english,none,normal,false,false,false,,1733054824000
674c516086fa6e365feecf3b,,82.53,92.5,94.32,63.61,35;2;0;0,words,10,-1,9,5.09,0,19.25,false,false,english,none,normal,false,false,false,,1733054816000
674c513c86fa6e365feecdbf,,75.95,96.43,88.61,77.15,48;0;1;0,words,10,-1,4,7.58,0,10.35,false,false,english,none,normal,false,false,false,,1733054780000
674c512686fa6e365feecce7,,87.67,96.55,87.67,77.23,56;0;0;0,words,10,-1,3,7.67,0,5.35,false,false,english,none,normal,false,false,false,,1733054758000
674c511286fa6e365feecc21,,72.23,94.12,80.25,58.57,45;2;0;0,words,10,-1,2,7.48,0,2.82,false,false,english,none,normal,false,false,false,,1733054738000
674c510486fa6e365feecb78,,108.42,100,108.42,84.07,45;0;0;0,words,10,-1,3,4.98,0,4.87,false,false,english,none,normal,false,false,false,,1733054724000
674c50e386fa6e365feeca16,true,108.64,100,108.64,63.21,48;0;0;0,words,10,-1,2,5.3,0,3.4,false,false,english,none,normal,false,false,false,,1733054691000
674c50d786fa6e365feec99b,,79.17,94.55,87.08,64.43,50;2;0;0,words,10,-1,1,7.58,0,1.2,false,false,english,none,normal,false,false,false,,1733054679000
674c50cb86fa6e365feec93b,,89.53,93.75,99.94,82.04,43;2;0;0,words,10,-1,1,5.76,0,1.01,false,false,english,none,normal,false,false,false,,1733054667000
674c50c186fa6e365feec8c5,,90.67,98,90.67,72.58,49;0;0;0,words,10,-1,1,6.49,0,1.94,false,false,english,none,normal,false,false,false,,1733054657000
674c50b586fa6e365feec847,,92.17,100,92.17,85.7,51;0;0;0,words,10,-1,1,6.64,0,2.03,false,false,english,none,normal,false,false,false,,1733054645000
674c50a886fa6e365feec7b6,,93.5,100,93.5,63.1,48;0;0;0,words,10,-1,7,6.16,0,13.75,false,false,english,none,normal,false,false,false,,1733054632000
674c508786fa6e365feec66a,true,106.17,100,106.17,92.19,52;0;0;0,words,10,-1,2,5.88,0,3.24,false,false,english,none,normal,false,false,false,,1733054599000
674c507986fa6e365feec5d6,,85.56,100,85.56,73.35,52;0;0;0,words,10,-1,5,7.29,0,10.74,false,false,english,none,normal,false,false,false,,1733054585000
674c506286fa6e365feec4ea,,76.32,90.57,91.93,83.9,44;3;1;0,words,10,-1,0,6.92,0,0,false,false,english,none,normal,false,false,false,,1733054562000
674c505886fa6e365feec478,,96.21,100,96.21,78.2,44;0;0;0,words,10,-1,0,5.49,0,0,false,false,english,none,normal,false,false,false,,1733054552000
674c505086fa6e365feec428,,98.03,100,98.03,86.42,47;0;0;0,words,10,-1,1,5.75,0,2.1,false,false,english,none,normal,false,false,false,,1733054544000
674c504686fa6e365feec3bd,,84.29,93.62,94.32,91.14,42;1;1;0,words,10,-1,6,5.98,0,10.68,false,false,english,none,normal,false,false,false,,1733054534000
674c502886fa6e365feec272,,97.49,100,97.49,61.08,49;0;0;0,words,10,-1,0,6.03,0,0,false,false,english,none,normal,false,false,false,,1733054504000
674c502086fa6e365feec21e,,87.68,97.96,87.68,63.64,48;0;0;0,words,10,-1,6,6.57,0,11.86,false,false,english,none,normal,false,false,false,,1733054496000
