_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
67356107cb87917df25b9151,,180.75,77.99,287.12,83.39,226;49;7;10,time,15,-1,1,15,0,0.54,false,false,english,none,normal,false,false,false,,1731551495000
671d85cc50538de2c23df501,,194.03,84.75,301.25,61.44,38;6;0;0,custom,custom,-1,4,2.35,0,3.42,false,false,english,none,normal,true,false,false,,1729988044000
671d796c50538de2c23db03d,,339.63,100,339.63,97.19,49;0;0;0,custom,custom,-1,0,1.73,0,0,false,false,english,none,normal,false,false,false,,1729984876000
669daf3782df16123dd782a9,true,318.16,100,318.16,92.65,67;0;0;0,custom,custom,-1,21,2.53,0,18.11,false,false,english,none,normal,true,false,false,,1721610039000
669dae5482df16123dd77d6f,,274.12,95.59,305.57,88.84,61;2;0;0,custom,custom,-1,3,2.67,0,3.33,false,false,english,none,normal,true,false,false,,1721609812000
669dae4482df16123dd77d19,,206.82,92.39,260.65,68.39,73;4;0;1,custom,custom,-1,9,4.24,0,19.25,false,false,english,none,normal,true,false,false,,1721609796000
669dae0782df16123dd77bba,,251.81,97.85,269.18,60.14,87;1;0;0,custom,custom,-1,8,4.15,0,8.1,false,false,english,none,normal,true,false,false,,1721609735000
669dadb382df16123dd779e4,,278.17,96.47,303.13,68.2,78;1;1;0,custom,custom,-1,18,3.36,0,18.24,false,false,english,none,normal,true,false,false,,1721609651000
669dad6e82df16123dd77875,,240.73,92.55,275.96,52.81,82;4;1;0,custom,custom,-1,19,4.09,0,21.75,false,false,english,none,normal,true,false,false,,1721609582000
669dad1182df16123dd7765d,,246.97,95.74,273.12,54.01,85;2;1;0,custom,custom,-1,2,4.13,0,1.47,false,false,english,none,normal,true,false,false,,1721609489000
669dacd182df16123dd774e1,,302.88,100,302.88,63.9,84;0;0;0,custom,custom,-1,11,3.33,0,10.18,false,false,english,none,normal,true,false,false,,1721609425000
669dac9f82df16123dd773c9,true,303.95,100,303.95,95.48,69;0;0;0,custom,custom,-1,2,2.72,0,1.83,false,false,english,none,normal,true,false,false,,1721609375000
669dac8b82df16123dd77350,true,274.72,88.41,326.82,97.59,58;5;1;1,custom,custom,-1,3,2.53,0,1.5,false,false,english,none,normal,true,false,false,,1721609355000
669b06df82df16123dc49a62,,235.11,91.2,272.69,92.06,294;18;3;2,time,15,-1,8,15.01,0,10.71,false,false,english,none,normal,false,false,false,,1721435871000
669b05d382df16123dc49578,,235.02,92.08,272.59,91.13,294;17;2;1,time,15,-1,3,15.01,0,2.54,false,false,english,none,normal,false,false,false,,1721435603000
