_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
67630fdf1df1c69f1565104f,,67.34,88.68,73.07,69.58,47;3;0;0,words,10,-1,6,8.38,0,7.88,false,false,english,none,normal,false,false,false,,1734545375000
67630fbc1df1c69f15650e35,,75.79,100,75.79,65.71,51;0;0;0,words,10,-1,0,8.08,0,0,false,false,english,none,normal,false,false,false,,1734545340000
67630fb21df1c69f15650d9c,,46.39,85.51,46.39,55.99,56;0;0;0,words,10,-1,1,14.48,0,7.8,false,false,english,none,normal,false,false,false,,1734545330000
6762fc0b1df1c69f1563c23e,,30.83,80.77,64.23,41.48,24;5;0;4,words,10,-1,4,9.34,0,75.2,false,false,english,none,normal,false,false,false,,1734540299000
6762fa8a1df1c69f1563a7a4,,41.76,84.38,41.76,52.48,53;0;0;0,words,10,-1,4,15.23,0,11.47,false,false,english_1k,none,normal,false,false,false,,1734539914000
6762fa631df1c69f1563a519,,33.74,79.71,33.74,57.31,162;0;0;0,words,25,-1,1,57.62,0,1.97,false,false,english_1k,none,normal,false,false,false,,1734539875000
6762fa201df1c69f1563a072,,35.14,82.02,35.14,56.57,143;0;0;0,words,25,-1,1,48.83,0,4.17,false,false,english_1k,none,normal,false,false,false,,1734539808000
6762f9e61df1c69f15639c4d,true,35.32,80.11,35.32,57.69,138;0;0;0,words,25,-1,6,46.88,0,16.55,false,false,english_1k,none,normal,false,false,false,,1734539750000
6762f9891df1c69f15639573,,67.18,91.84,75.18,77.05,84;3;1;1,time,15,-1,2,15,0,2.02,false,false,english,none,normal,false,false,false,,1734539657000
6762f9731df1c69f15639403,,43.17,80.25,60.76,58.46,54;5;3;0,time,15,-1,6,15.01,0,17.22,false,false,english,none,normal,false,false,false,,1734539635000
6762f9411df1c69f156390bd,,51.28,89.09,51.28,62.25,538;0;0;0,words,100,-1,13,125.89,1,26.35,false,false,english,none,normal,false,false,false,,1734539585000
6762f8861df1c69f156383b5,true,88.69,100,88.69,72.27,39;0;0;0,words,10,-1,7,5.28,0,8.63,false,false,english,none,normal,false,false,false,,1734539398000
6762f86c1df1c69f156381ec,,53.26,83.61,53.26,61.96,51;0;0;0,words,10,-1,0,11.49,0,0,false,false,english,none,normal,false,false,false,,1734539372000
6762f85f1df1c69f156380fb,,51.13,85.94,51.13,69.17,55;0;0;0,words,10,-1,6,12.91,0,13.68,false,false,english,none,normal,false,false,false,,1734539359000
6762f83c1df1c69f15637ea9,,52.25,83.33,52.25,60.02,49;0;0;0,words,10,-1,1,11.25,0,1.61,false,false,english,none,normal,false,false,false,,1734539324000
6762f82d1df1c69f15637dad,,52.88,86.57,52.88,54.5,57;0;0;0,words,10,-1,2,12.93,0,4.21,false,false,english,none,normal,false,false,false,,1734539309000
6762f8181df1c69f15637c2c,,60.07,83.05,82.95,76.03,42;3;4;0,words,10,-1,21,8.39,0,58.18,false,false,english,none,normal,false,false,false,,1734539288000
6762f7a31df1c69f15637407,,63.67,89.36,63.67,56.4,42;0;0;0,words,10,-1,7,7.92,0,13.89,false,false,english,none,normal,false,false,false,,1734539171000
