_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
677f62e533ee27aa12c7dbe2,,67.19,92.86,73.59,72.7,84;0;0;1,time,15,,1,15,0,1.59,false,false,english,none,normal,false,false,false,,1736401637671
677f626033ee27aa12c7d768,,64.8,93.18,64.8,64.33,81;0;0;0,time,15,,1,15,0,2.68,false,false,english,none,normal,false,false,false,,1736401503953
677f624b33ee27aa12c7d690,,66.39,97.67,66.39,77.51,83;0;0;0,time,15,,1,15,0,3.98,false,false,english,none,normal,false,false,false,,1736401483699
677f61c633ee27aa12c7d210,,71.99,89.62,82.39,76.06,90;6;0;0,time,15,,0,15,0,0,false,false,english,none,normal,false,false,false,,1736401350694
677f600233ee27aa12c7c23d,true,74.2,96.61,74.2,74.45,371;0;0;0,time,60,,1,60,0,0.81,false,false,english,none,normal,false,false,false,,1736400898039
677f5f4d33ee27aa12c7bbf7,,69.4,93.49,73.4,72.61,347;5;2;0,time,60,,2,60,0,42.76,false,false,english,none,normal,false,false,false,,1736400714134
677f5b7e33ee27aa12c79959,,69.99,96,72.39,74.6,350;0;1;1,time,60,,4,60,0,95.48,false,false,english,none,normal,false,false,false,,1736399742824
677f5a0033ee27aa12c78a3d,,66,90.98,66,68.8,330;0;0;0,time,60,,0,60,0,0,false,false,english,none,normal,false,false,false,,1736399360332
677f598f33ee27aa12c785ef,,70.4,92.82,74,71.84,352;4;1;2,time,60,,0,60,0,0,false,false,english,none,normal,false,false,false,,1736399247694
677f590233ee27aa12c78069,,67,90.18,73,71.22,335;12;1;1,time,60,,1,60,0,1.5,false,false,english,none,normal,false,false,false,,1736399107141
677f586833ee27aa12c77a76,,67.4,93.68,68.8,71.16,337;3;0;0,time,60,,1,60,0,22.89,false,false,english,none,normal,false,false,false,,1736398952145
677f580533ee27aa12c776c3,,67,92.45,68.2,70.4,335;1;1;0,time,60,,0,60,0,0,false,false,english,none,normal,false,false,false,,1736398853352
