_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6785938130d177b767a23d37,,110.3,97.96,110.3,74.65,144;0;0;0,quote,153,1,2,15.67,0,8.26,false,false,english,none,normal,false,false,false,,1736807297000
6785914530d177b767a228ae,,89.76,92.34,89.76,68.65,192;0;0;0,quote,152,1,0,25.67,0,0,false,false,english,none,normal,false,false,false,,1736806725000
67858f7f30d177b767a218ef,,100.01,96.05,100.01,76.13,241;0;0;0,quote,151,1,1,28.92,0,5.38,false,false,english,none,normal,false,false,false,,1736806271000
67858f5a30d177b767a21787,,96.87,95.45,96.87,74.13,143;0;0;0,quote,150,1,2,17.71,0,10.9,false,false,english,none,normal,false,false,false,,1736806234000
6785883130d177b767a1d0b3,,90.99,91.5,90.99,69.57,311;0;0;0,quote,149,2,4,41.01,0,22.08,false,false,english,none,normal,false,false,false,,1736804401000
678587ec30d177b767a1ce00,,97.1,94.7,97.1,74.82,247;0;0;0,quote,148,1,3,30.53,0,5.67,false,false,english,none,normal,false,false,false,,1736804332000
678587c430d177b767a1cc8b,,95.38,91.81,95.38,73.74,156;0;0;0,quote,147,1,3,19.63,0,5.85,false,false,english,none,normal,false,false,false,,1736804292000
678587a730d177b767a1cb55,,98.08,96.23,98.08,73.53,204;0;0;0,quote,146,1,5,24.96,0,15.07,false,false,english,none,normal,false,false,false,,1736804263000
6785877530d177b767a1c958,,112.43,98.41,112.43,86.1,62;0;0;0,quote,145,0,1,6.62,0,1.98,false,false,english,none,normal,false,false,false,,1736804213000
6785876830d177b767a1c8ab,,98.05,94.81,98.05,64.07,199;0;0;0,quote,144,1,1,24.36,0,1.85,false,false,english,none,normal,false,false,false,,1736804200000
6785872e30d177b767a1c640,,90.06,89.9,90.06,73.99,176;0;0;0,quote,143,1,3,23.45,0,24.45,false,false,english,none,normal,false,false,false,,1736804142000
678586f930d177b767a1c3fd,,111.82,97.25,114.58,76.01,243;1;0;1,quote,142,1,3,26.08,0,5.14,false,false,english,none,normal,false,false,false,,1736804089000
678586d530d177b767a1c27e,,116.95,100,116.95,61.74,51;0;0;0,quote,141,0,0,5.23,0,0,false,false,english,none,normal,false,false,false,,1736804053000
