_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
675e261a1df1c69f152ff344,,128.43,100,128.43,79.59,122;0;0;0,words,25,-1,3,11.4,0,8,false,false,english,none,normal,false,false,false,,1734223386000
675da7cc1df1c69f152bd00e,,116.89,100,116.89,86.25,123;0;0;0,words,25,-1,0,12.63,0,0,false,false,english,none,normal,false,false,false,,1734191052000
675d090e1df1c69f15265f64,,117.78,100,117.78,88.43,134;0;0;0,words,25,-1,3,13.65,0,5.85,false,false,english,none,normal,false,false,false,,1734150414000
675d08f51df1c69f15265e99,,79.19,95.59,85.53,78.12,125;4;0;0,words,25,-1,1,18.94,0,6.34,false,false,english,none,normal,false,false,false,,1734150389000
6752af4144765f7d6c9fd9a8,,122.82,98.52,127.54,83.99,130;1;0;0,words,25,-1,1,12.7,0,2.54,false,false,english,none,normal,false,false,false,,1733472065000
6752af3044765f7d6c9fd8f4,,108.93,92.56,123.19,79.3,107;6;0;1,words,25,-1,1,11.79,0,3.48,false,false,english,none,normal,false,false,false,,1733472048000
6750648786fa6e365f1efdca,,109.77,100,109.77,82.32,134;0;0;0,words,25,-1,0,14.65,0,0,false,false,english,none,normal,false,false,false,,1733321863000
6750141a86fa6e365f1b0e0d,,98.05,94.2,121.9,74.83,111;4;0;1,words,25,-1,2,13.58,0,3.44,false,false,english,none,normal,false,false,false,,1733301274000
6750140686fa6e365f1b0d58,,138.77,97.66,144.41,89.65,123;2;0;1,words,25,-1,1,10.64,0,2.73,false,false,english,none,normal,false,false,false,,1733301254000
6750139a86fa6e365f1b08e9,,128.19,97.69,133.31,84.67,125;2;0;0,words,25,-1,6,11.7,0,26.66,false,false,english,none,normal,false,false,false,,1733301146000
674ff39586fa6e365f19b970,,101.02,96,111.75,79.49,113;2;0;2,words,25,-1,2,13.42,0,3.6,false,false,english,none,normal,false,false,false,,1733292949000
674deea286fa6e365f0134d6,,136.96,100,136.96,87.04,119;0;0;0,words,25,-1,5,10.43,0,7.95,false,false,english,none,normal,false,false,false,,1733160610000
6748ca8886fa6e365fcee03d,,144.66,100,144.66,75.69,53;0;0;0,words,10,-1,1,4.4,0,1.52,false,false,english,none,normal,false,false,false,,1732823688000
6748ca8086fa6e365fcedfe6,,120.54,93.75,134.56,66.03,43;2;0;0,words,10,-1,3,4.28,0,5.78,false,false,english,none,normal,false,false,false,,1732823680000
6748c8e686fa6e365fcecff6,,151.49,100,151.49,72.43,55;0;0;0,words,10,-1,1,4.36,0,0.72,false,false,english,none,normal,false,false,false,,1732823270000
6745e89886fa6e365faebbaa,,141.64,100,141.64,76.43,53;0;0;0,words,10,-1,0,4.49,0,0,false,false,english,none,normal,false,false,false,,1732634776000
6745e89286fa6e365faebb4e,,137.85,100,137.85,75.67,51;0;0;0,words,10,-1,4,4.44,0,4.29,false,false,english,none,normal,false,false,false,,1732634770000
6745e88686fa6e365faeba6e,,136.02,98.11,153.39,62.94,47;0;0;1,words,10,-1,4,4.15,0,9.92,false,false,english,none,normal,false,false,false,,1732634758000
673ca35a72e2e364f4eb04a2,,123.61,100,123.61,90.61,48;0;0;0,words,10,-1,1,4.66,0,2.81,false,false,english,none,normal,false,false,false,,1732027226000
673ca35172e2e364f4eb03d4,,118.53,100,118.53,76.82,44;0;0;0,words,10,-1,4,4.45,0,13.18,false,false,english,none,normal,false,false,false,,1732027217000
673ca33b72e2e364f4eb0214,,127.09,94.64,142.35,86.2,50;2;0;0,words,10,-1,0,4.72,0,0,false,false,english,none,normal,false,false,false,,1732027195000
673ca33272e2e364f4eb0165,,139.93,100,139.93,79.83,53;0;0;0,words,10,-1,0,4.55,0,0,false,false,english,none,normal,false,false,false,,1732027186000
673ca32d72e2e364f4eb00ef,,124.24,100,124.24,81.78,49;0;0;0,words,10,-1,4,4.73,0,5.71,false,false,english,none,normal,false,false,false,,1732027181000
673ca31e72e2e364f4eaffc4,,139.58,100,139.58,68.64,52;0;0;0,words,10,-1,0,4.47,0,0,false,false,english,none,normal,false,false,false,,1732027166000
673ca31872e2e364f4eaff46,,139.77,100,139.77,86.87,54;0;0;0,words,10,-1,0,4.64,0,0,false,false,english,none,normal,false,false,false,,1732027160000
673ca31372e2e364f4eafebe,,128.25,100,128.25,87.5,49;0;0;0,words,10,-1,0,4.58,0,0,false,false,english,none,normal,false,false,false,,1732027154000
673ca30c72e2e364f4eafe36,,143.33,100,143.33,67.14,50;0;0;0,words,10,-1,0,4.19,0,0,false,false,english,none,normal,false,false,false,,1732027148000
673ca30772e2e364f4eafdc9,,127.33,100,127.33,78.53,51;0;0;0,words,10,-1,0,4.81,0,0,false,false,english,none,normal,false,false,false,,1732027143000
673ca30172e2e364f4eafd32,,120.43,100,120.43,85.86,48;0;0;0,words,10,-1,0,4.78,0,0,false,false,english,none,normal,false,false,false,,1732027137000
673ca2fc72e2e364f4eafcb5,,148.5,100,148.5,53.16,50;0;0;0,words,10,-1,4,4.04,0,6.82,false,false,english,none,normal,false,false,false,,1732027132000
673ca2ed72e2e364f4eafb73,,122.54,91.3,144.54,86.82,39;3;0;1,words,10,-1,1,3.82,0,2.64,false,false,english,none,normal,false,false,false,,1732027117000
673ca2e472e2e364f4eafac3,,130.26,100,130.26,89.53,53;0;0;0,words,10,-1,5,4.88,0,7.87,false,false,english,none,normal,false,false,false,,1732027108000
6739764acb87917df289dbe5,,98.89,94.23,128.56,90.88,40;1;0;1,words,10,-1,4,4.85,0,7.8,false,false,english,none,normal,false,false,false,,1731819082000
6739762ecb87917df289db1b,,123.57,100,123.57,67.28,49;0;0;0,words,10,-1,0,4.76,0,0,false,false,english,none,normal,false,false,false,,1731819054000
67397628cb87917df289daef,,107.23,100,107.23,67.73,48;0;0;0,words,10,-1,3,5.37,0,3.75,false,false,english,none,normal,false,false,false,,1731819048000
673975dccb87917df289d850,,126.19,100,126.19,57.97,53;0;0;0,words,10,-1,1,5.04,0,0.42,false,false,english,none,normal,false,false,false,,1731818972000
673975d4cb87917df289d806,,118.65,100,118.65,83.95,57;0;0;0,words,10,-1,0,5.76,0,0,false,false,english,none,normal,false,false,false,,1731818964000
673975cdcb87917df289d7c5,,132.95,100,132.95,70.84,48;0;0;0,words,10,-1,1,4.33,0,6.22,false,false,english,none,normal,false,false,false,,1731818957000
673975c1cb87917df289d758,,121.67,100,121.67,89.5,59;0;0;0,words,10,-1,2,5.82,0,3.86,false,false,english,none,normal,false,false,false,,1731818945000
673975b3cb87917df289d6db,,127.2,100,127.2,67.8,45;0;0;0,words,10,-1,0,4.25,0,0,false,false,english,none,normal,false,false,false,,1731818931000
673975adcb87917df289d6af,,130.02,100,130.02,68.02,47;0;0;0,words,10,-1,0,4.34,0,0,false,false,english,none,normal,false,false,false,,1731818925000
673975a8cb87917df289d67d,,97.34,88.68,129.79,88.2,39;4;0;0,words,10,-1,0,4.81,0,0,false,false,english,none,normal,false,false,false,,1731818920000
673975a2cb87917df289d64d,,117.78,100,117.78,81.55,45;0;0;0,words,10,-1,1,4.58,0,2.64,false,false,english,none,normal,false,false,false,,1731818914000
67347d59cb87917df24f1bcc,,126.81,100,126.81,60.69,43;0;0;0,words,10,-1,2,4.07,0,2.18,false,false,english,none,normal,false,false,false,,1731493209000
67322918cb87917df2326c11,,125.7,100,125.7,85.48,51;0;0;0,words,10,-1,3,4.87,0,9.51,false,false,english,none,normal,false,false,false,,1731340568000
67322907cb87917df2326ac6,,98.86,94.12,117.25,55.64,43;0;2;0,words,10,-1,0,5.22,0,0,false,false,english,none,normal,false,false,false,,1731340551000
67322900cb87917df2326a4b,,128.78,100,128.78,68.02,47;0;0;0,words,10,-1,0,4.38,0,0,false,false,english,none,normal,false,false,false,,1731340544000
673228fbcb87917df23269ef,,138.12,100,138.12,96.18,46;0;0;0,words,10,-1,2,4,1,2.71,false,false,english,none,normal,false,false,false,,1731340539000
672f036bcb87917df2134155,,120.07,100,120.07,58.85,51;0;0;0,words,10,-1,0,5.1,0,0,false,false,english,none,normal,false,false,false,,1731134315000
672f0365cb87917df2134111,,125.5,100,125.5,68.95,46;0;0;0,words,10,-1,3,4.4,0,4.74,false,false,english,none,normal,false,false,false,,1731134309000
672f0358cb87917df2134099,,111.13,98.04,123.21,80.37,46;0;0;1,words,10,-1,2,4.97,0,2.18,false,false,english,none,normal,false,false,false,,1731134296000
672f034dcb87917df2134043,,112.2,93.75,125.24,83.82,43;2;0;0,words,10,-1,0,4.6,0,0,false,false,english,none,normal,false,false,false,,1731134285000
672f0347cb87917df213400c,,126.89,100,126.89,80.27,47;0;0;0,words,10,-1,2,4.44,0,3.28,false,false,english,none,normal,false,false,false,,1731134279000
672f033ccb87917df2133fa3,,106.6,95.83,127.92,85.19,40;1;0;1,words,10,-1,3,4.5,0,9.86,false,false,english,none,normal,false,false,false,,1731134268000
672f032bcb87917df2133ef8,,124.45,93.75,138.92,59.1,43;2;0;1,words,10,-1,0,4.15,0,0,false,false,english,none,normal,false,false,false,,1731134251000
672f0325cb87917df2133ec9,,133.69,94.34,147.62,72.92,48;2;0;0,words,10,-1,0,4.31,0,0,false,false,english,none,normal,false,false,false,,1731134245000
672f031fcb87917df2133e8d,,116.38,97.96,129.61,79.39,44;0;0;1,words,10,-1,0,4.54,0,0,false,false,english,none,normal,false,false,false,,1731134239000
672b6f6ccb87917df2e73349,,145.93,100,145.93,83.28,58;0;0;0,words,10,-1,1,4.77,0,3.64,false,false,english,none,normal,false,false,false,,1730899820000
672b6f5ecb87917df2e73265,,97.48,86.96,118,92.12,38;4;0;2,words,10,-1,7,4.68,0,16.41,false,false,english,none,normal,false,false,false,,1730899806000
672b6f41cb87917df2e7307c,,147.43,93.62,164.98,71.54,42;2;0;0,words,10,-1,2,3.42,0,1.47,false,false,english,none,normal,false,false,false,,1730899777000
6725d5db50538de2c29aced8,,125.15,100,125.15,73.28,56;0;0;0,words,10,-1,0,5.37,0,0,false,false,english,none,normal,false,false,false,,1730532827000
6725d5d550538de2c29ace9c,,131.94,100,131.94,64.03,46;0;0;0,words,10,-1,1,4.18,0,1.1,false,false,english,none,normal,false,false,false,,1730532821000
6725d5ce50538de2c29ace5c,,130.67,100,130.67,59.01,55;0;0;0,words,10,-1,1,5.05,0,2.97,false,false,english,none,normal,false,false,false,,1730532814000
6725d5c350538de2c29ace04,,131.45,100,131.45,71.58,49;0;0;0,words,10,-1,1,4.47,0,2.32,false,false,english,none,normal,false,false,false,,1730532803000
6725d5bb50538de2c29acdbd,,129.83,100,129.83,86.17,51;0;0;0,words,10,-1,2,4.71,0,3.35,false,false,english,none,normal,false,false,false,,1730532795000
