_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
676d199a989496429384d155,,97.35,96.56,97.35,71.94,252;0;0;0,words,50,-1,1,31.06,0,0.87,false,false,english,none,normal,false,false,false,,1735203226000
676d0e319894964293847056,,104.02,96.92,106.95,79.43,249;3;1;0,words,50,-1,1,28.72,0,1.08,false,false,english,none,normal,false,false,false,,1735200305000
676ba969989496429378ec2a,,97.8,96.24,100.51,73.71,253;2;1;0,words,50,-1,0,31.04,0,0,false,false,english,none,normal,false,false,false,,1735108968000
6732dd0bcb87917df23ac599,,114.66,100,114.66,61.67,49;0;0;0,words,10,-1,7,5.13,0,28,false,false,english,none,normal,false,false,false,,1731386635000
67324d95cb87917df234c2d0,,100.62,97.79,100.62,71.84,263;0;0;0,words,50,-1,1,31.37,0,1.46,false,false,english,none,normal,false,false,false,,1731349909000
67324d1dcb87917df234bbeb,,96.72,98.46,96.72,78.49,255;0;0;0,words,50,-1,1,31.64,0,1.85,false,false,english,none,normal,false,false,false,,1731349789000
67324cf9cb87917df234b9d2,,90.86,96.42,90.86,72.74,267;0;0;0,words,50,-1,0,35.26,0,0,false,false,english,none,normal,false,false,false,,1731349753000
67323056cb87917df232eac9,,99.08,97.53,99.08,73.82,275;0;0;0,words,50,-1,2,33.31,0,13.1,false,false,english,none,normal,false,false,false,,1731342421000
6732130fcb87917df230f29f,true,108.06,99.61,108.06,86.53,257;0;0;0,words,50,-1,0,28.54,0,0,false,false,english,none,normal,false,false,false,,1731334927000
6731f41dcb87917df22f39d1,,94.53,97.67,94.53,77.29,249;0;0;0,words,50,-1,1,31.61,0,0.72,false,false,english,none,normal,false,false,false,,1731327005000
6731d99bcb87917df22e0f26,,88.24,95.64,89.59,75.29,260;0;0;1,words,50,-1,1,35.36,0,3.4,false,false,english,none,normal,false,false,false,,1731320219000
6731d972cb87917df22e0cfd,,93.47,98.15,93.47,79.9,264;0;0;0,words,50,-1,0,33.89,0,0,false,false,english,none,normal,false,false,false,,1731320178000
6731d94acb87917df22e0b65,,93.25,95.52,93.25,73.52,255;0;0;0,words,50,-1,0,32.82,0,0,false,false,english,none,normal,false,false,false,,1731320138000
6731d872cb87917df22e01fd,,95.73,97.25,95.73,71.5,246;0;0;0,words,50,-1,2,30.84,0,28.01,false,false,english,none,normal,false,false,false,,1731319922000
6731d825cb87917df22dfea7,,94,98.16,94,73.17,267;0;0;0,words,50,-1,6,34.08,0,34.6,false,false,english,none,normal,false,false,false,,1731319845000
6731d780cb87917df22df749,,94.89,96.02,94.89,72.41,240;0;0;0,words,50,-1,3,30.35,0,23.94,false,false,english,none,normal,false,false,false,,1731319680000
672ecec5cb87917df21185c5,,91.95,96.84,91.95,76.07,245;0;0;0,words,50,-1,0,31.97,0,0,false,false,english,none,normal,false,false,false,,1731120837000
672eccf5cb87917df21177bb,,91.99,96.68,91.99,72.68,262;0;0;0,words,50,-1,2,34.18,0,14.61,false,false,english,none,normal,false,false,false,,1731120373000
672d9dd5cb87917df2030da4,,96.68,98.88,96.68,78.62,264;0;0;0,words,50,-1,5,32.77,0,44.97,false,false,english,none,normal,false,false,false,,1731042773000
672d9d7ecb87917df2030a96,,90.14,97.68,90.14,75.64,252;0;0;0,words,50,-1,2,33.55,0,14.54,false,false,english,none,normal,false,false,false,,1731042686000
672d9d48cb87917df203088c,,92.66,98.85,92.66,79.47,258;0;0;0,words,50,-1,3,33.41,0,6.27,false,false,english,none,normal,false,false,false,,1731042632000
672c7fe3cb87917df2f48190,,103.39,98.8,103.39,80.22,246;0;0;0,words,50,-1,4,28.55,0,16.7,false,false,english,none,normal,false,false,false,,1730969571000
672c6808cb87917df2f38ae1,,96.01,97.78,96.01,71.73,263;0;0;0,words,50,-1,2,32.87,0,3.31,false,false,english,none,normal,false,false,false,,1730963464000
672c6786cb87917df2f38575,,96.07,96.18,96.07,71.53,275;0;0;0,words,50,-1,5,34.35,0,9.7,false,false,english,none,normal,false,false,false,,1730963334000
672c66fccb87917df2f38004,,87.3,94.24,88.32,70.47,258;2;0;0,words,50,-1,3,35.46,0,3.52,false,false,english,none,normal,false,false,false,,1730963196000
672a1713cb87917df2d6d1ad,,91.86,98.83,94.84,80.58,247;0;0;1,words,50,-1,0,32.27,0,0,false,false,english,none,normal,false,false,false,,1730811667000
672a16f0cb87917df2d6cfd2,,92.58,98.18,92.58,78.27,270;0;0;0,words,50,-1,1,35,1,1.53,false,false,english,none,normal,false,false,false,,1730811632000
672a0fe2cb87917df2d67299,,91.92,99.01,91.92,77.45,299;0;0;0,words,50,-1,0,39.03,0,0,false,false,english,none,normal,false,false,false,,1730809826000
672a0f2ccb87917df2d6699e,,91.48,98.81,91.48,80.01,249;0;0;0,words,50,-1,2,32.66,0,6.42,false,false,english,none,normal,false,false,false,,1730809644000
672a0ea3cb87917df2d662b8,,93.36,98.54,93.36,82.29,270;0;0;0,words,50,-1,4,34.7,0,39.41,false,false,english,none,normal,false,false,false,,1730809507000
