_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6785fa6430d177b767a58867,,60.4,93.62,61,72.05,302;1;0;0,time,60,-1,9,60,0,57.12,false,false,english,none,normal,false,false,false,,1736833636000
6785f98a30d177b767a580c1,,57,92.36,58.6,64.88,285;2;0;0,time,60,-1,5,60,0,60.59,false,false,english,none,normal,false,false,false,,1736833418000
6785f8fc30d177b767a57c05,,59.79,93.41,63.79,68.31,299;4;0;0,time,60,-1,3,60.01,0,5.17,false,false,english,none,normal,false,false,false,,1736833276000
6785f89e30d177b767a578fd,,66,95.44,67.2,69.77,330;1;0;0,time,60,-1,1,60,0,4.56,false,false,english,none,normal,false,false,false,,1736833182000
6785f7e630d177b767a5725f,true,66.8,95.43,66.8,73.23,334;0;0;0,time,60,-1,0,60,0,0,false,false,english,none,normal,false,false,false,,1736832998000
67852e1f30d177b7679c6f7c,,60.19,94.63,64.19,71.82,301;4;0;0,time,60,-1,1,60.01,0,0.87,false,false,english,none,normal,false,false,false,,1736781343000
6782458933ee27aa12e6db12,true,74.37,100,74.37,82.14,93;0;0;0,time,15,-1,3,15.01,0,14.07,false,false,english,none,normal,false,false,false,,1736590729000
6782456233ee27aa12e6d9eb,true,60.79,89.89,67.99,71.49,76;3;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1736590690000
677ce19433ee27aa12ac4e37,,57.38,89.16,58.78,65.57,287;5;0;1,time,60,-1,0,60.02,0,0,false,false,english,none,normal,false,false,false,,1736237460000
677a27e79894964293f4c376,,63.4,95.86,65.6,73.68,317;3;0;0,time,60,-1,0,60,0,0,false,false,english,none,normal,false,false,false,,1736058855000
677940109894964293ed8ee8,,60.8,93.39,61.8,69.42,304;1;0;1,time,60,-1,19,60,0,116.22,false,false,english,none,normal,false,false,false,,1735999504000
67793f239894964293ed84ef,,58.2,93.46,60.8,70.09,291;2;0;0,time,60,-1,2,60,0,9.13,false,false,english,none,normal,false,false,false,,1735999267000
67754a5e9894964293ca06e9,,63.59,96.4,63.59,71.81,318;0;0;0,time,60,-1,1,60.01,0,9.24,false,false,english,none,normal,false,false,false,,1735739998000
6773d0a99894964293bea4d0,,62.99,94.1,63.19,73.59,315;1;0;0,time,60,-1,3,60.01,0,23.21,false,false,english,none,normal,false,false,false,,1735643305000
6773cfd89894964293be9dc5,,63.4,97.87,63.4,69.86,317;0;0;0,time,60,-1,2,60,0,4.99,false,false,english,none,normal,false,false,false,,1735643096000
677042089894964293a10649,,61.39,95.41,61.39,69.41,307;0;0;0,time,60,-1,5,60.01,0,74.96,false,false,english,none,normal,false,false,false,,1735410184000
67690ea01df1c69f159c13fc,true,63.78,95.1,66.98,71.05,319;3;0;0,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,,1734938272000
676710ee1df1c69f158ca538,,60.2,97.47,61,70.01,301;0;0;1,time,60,-1,1,60,0,2.28,false,false,english,none,normal,false,false,false,,1734807790000
676702d01df1c69f158c2450,true,62.2,96.32,63,74.33,311;0;0;1,time,60,-1,0,60,0,0,false,false,english,none,normal,false,false,false,,1734804176000
6767028f1df1c69f158c21b1,,56.59,94.08,56.59,67.8,283;0;0;0,time,60,-1,1,60.01,0,2.93,false,false,english,none,normal,false,false,false,,1734804111000
67664db81df1c69f1585e915,,56.99,95.51,58.58,62.56,285;1;0;1,time,60,-1,0,60.02,0,0,false,false,english,none,normal,false,false,false,,1734757816000
67664d721df1c69f1585e6c6,,54.19,92.57,54.59,60.36,271;1;0;0,time,60,-1,2,60.01,0,3.14,false,false,english,none,normal,false,false,false,,1734757746000
6764fbfc1df1c69f157953bd,true,61.98,95.17,62.98,68.87,310;3;0;1,time,60,-1,1,60.02,0,2.33,false,false,english,none,normal,false,false,false,,1734671356000
676066d21df1c69f1545ec51,true,61.19,96.3,61.19,68.98,306;0;0;0,time,60,-1,1,60.01,0,1.13,false,false,english,none,normal,false,false,false,,1734371026000
675f27131df1c69f1538c268,,48.99,92.25,49.99,58.71,245;2;0;0,time,60,-1,5,60.01,0,21.82,false,false,english,none,normal,false,false,false,,1734289171000
675e73be1df1c69f15320f6b,,54.59,92.45,60.19,64.66,273;5;0;1,time,60,-1,1,60.01,0,6.43,false,false,english,none,normal,false,false,false,,1734243262000
675e73721df1c69f15320d05,true,59.99,91.32,59.99,64.93,300;0;0;0,time,60,-1,1,60.01,0,5.54,false,false,english,none,normal,false,false,false,,1734243186000
675e72a71df1c69f1532066f,true,61.4,94.93,64.3,70.98,614;6;0;0,time,120,-1,1,120.01,0,2.31,false,false,english,none,normal,false,false,false,,1734242983000
