_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
66b9c33524029c3abd778b68,,71.99,98.9,71.99,53.07,180;0;0;0,time,30,-1,0,30,2,0,false,false,english,none,normal,false,false,false,,1723450165000
66b9c30924029c3abd7789cd,,87.2,96.46,90,80.39,218;5;1;0,time,30,-1,4,30,0,7.49,false,false,english,none,normal,false,false,false,,1723450121000
6687810382c1af7317d0a632,,91.2,96.05,101.19,83.32,228;6;1;0,time,30,-1,2,30,0,14.39,false,false,english,none,normal,false,false,false,,1720156419000
66406083866cd8bb799310af,,36.4,88.33,48,59.71,91;8;1;4,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1715495043000
6618f316edab6d8ac5777ee7,,97.2,97.59,98.8,75.87,243;3;0;1,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1712911126000
64c765410726bb8041bd4630,,92.8,97.15,98.4,82.08,232;5;0;1,time,30,-1,1,30,0,0.5,false,false,english,none,normal,false,false,false,,1690789185000
64c7651a0726bb8041bd4524,,82.19,94.03,86.39,69.69,411;5;1;1,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,,1690789146000
647705db0170c3dfdc2f663b,,81.79,94.27,87.99,77.71,409;8;1;1,time,60,-1,1,60.01,0,19.86,false,false,english,none,normal,false,false,false,,1685521883000
64720234c7b2e74af0909eec,,75.19,91.57,81.39,70.97,376;10;1;2,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,,1685193268000
647201eec7b2e74af0909caa,,21.8,88.15,25.8,41.99,109;7;1;0,time,60,-1,0,60.01,6,0,false,false,english,none,normal,false,false,false,,1685193198000
647201adc7b2e74af0909abb,,48.6,90.59,55.8,21.86,243;13;0;2,time,60,-1,0,60,15,0,false,false,english,none,normal,false,false,false,,1685193133000
646724f2c7b2e74af0a7e4a6,,75.8,91.22,85.6,67.44,379;14;3;4,time,60,-1,0,60,0,0,false,false,english,none,normal,false,false,false,,1684481266000
645386438723e138c4cdbf94,,72.59,91.57,81.59,73.7,363;19;3;2,time,60,-1,4,60.01,0,28.96,false,false,english,none,normal,false,false,false,,1683195459000
645385da8723e138c4cdbcb1,,85.8,92.45,93.8,72.42,429;11;1;1,time,60,-1,0,60,0,0,false,false,english,none,normal,false,false,false,,1683195354000
644dc3a18b42543b37918bdc,,73.8,89.93,85.8,73.22,369;16;2;2,time,60,-1,6,60,0,33.48,false,false,english,none,normal,false,false,false,,1682817953000
644bb0268b42543b37e3a355,,84,93.41,88.6,75.18,420;13;1;2,time,60,-1,6,60,0,42.02,false,false,english,none,normal,false,false,false,,1682681894000
644bafa98b42543b37e39fac,true,92.98,95.12,100.58,75.28,465;11;1;4,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,,1682681769000
644baf1c8b42543b37e39b8d,true,91.98,95.95,96.98,78.46,460;7;0;0,time,60,-1,2,60.01,0,4.41,false,false,english,none,normal,false,false,false,,1682681628000
644baec58b42543b37e398fd,,91.6,96.3,96.8,79.5,229;6;0;1,time,30,-1,5,30,0,13.08,false,false,english,none,normal,false,false,false,,1682681541000
644bae838b42543b37e3971a,,92.8,93.77,101.2,71.46,232;4;4;2,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1682681475000
644bae4a8b42543b37e3957a,,98.37,96.14,101.17,73.17,246;3;1;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1682681418000
644986098b42543b370adc5e,,86.37,88.89,98.37,76.88,216;15;3;0,time,30,-1,4,30.01,0,44.69,false,false,english,none,normal,false,false,false,,1682540041000
644985b88b42543b370ad9da,,84.8,88.19,98.4,74.35,212;14;3;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1682539960000
644119cd003d9906087fa259,,92.37,94.59,101.57,75.98,231;4;1;1,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1681988045000
64411922003d9906087f9de7,,92.8,96.79,96,68.56,232;1;0;0,time,30,-1,2,30,0,3.79,false,false,english,none,normal,false,false,false,,1681987874000
643e7152fedb0fc89b581f0a,,80,91.93,86.8,66.39,200;6;4;0,time,30,-1,2,30,1,35.26,false,false,english,none,normal,false,false,false,,1681813842000
643e7073fedb0fc89b520be3,,81.97,93.67,92.37,80.3,205;4;1;2,time,30,-1,1,30.01,0,5.28,false,false,english,none,normal,false,false,false,,1681813619000
643e7042fedb0fc89b520a90,,97.97,94.44,105.56,78.72,245;7;1;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1681813570000
643d2712b32f409c52997858,,88.8,90.8,96.4,74.23,222;10;4;1,time,30,-1,1,30,0,10.56,false,false,english,none,normal,false,false,false,,1681729298000
643d26e5b32f409c52997725,,89.57,95.38,91.97,70.9,224;2;1;0,time,30,-1,2,30.01,0,13.01,false,false,english,none,normal,false,false,false,,1681729253000
643d26afb32f409c52967091,,80,91.1,89.6,66.26,200;7;0;1,time,30,-1,1,30,0,5.15,false,false,english,none,normal,false,false,false,,1681729199000
643d266bb32f409c52936852,,85.97,89.39,93.57,72.79,215;8;3;1,time,30,-1,2,30.01,0,5.46,false,false,english,none,normal,false,false,false,,1681729131000
643d2619b32f409c5293660c,,82.4,93.56,90.8,73.89,206;5;1;0,time,30,-1,7,30,0,46.7,false,false,english,none,normal,false,false,false,,1681729049000
64387c57b32f409c527622cb,,93.2,93.51,103.2,79.96,233;9;1;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1681423447000
6436e49fb32f409c52ae7fbd,,96.4,98.38,96.4,77.46,241;0;0;0,time,30,-1,1,30,0,3.41,false,false,english,none,normal,false,false,false,,1681319071000
6436e46eb32f409c52ae7d3e,,91.2,94.86,100,80.23,228;8;0;2,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1681319022000
6432e33e32a956cd0ac9c859,,90,97.1,95.6,80.06,225;3;0;0,time,30,-1,1,30,0,4.64,false,false,english,none,normal,false,false,false,,1681056574000
6432e31732a956cd0ac9c748,,86.8,92.12,94.4,71.17,217;9;2;1,time,30,-1,4,30,0,31.05,false,false,english,none,normal,false,false,false,,1681056535000
642d1d4e0e2987d5c618a8c2,,89.17,95.4,93.57,74.59,223;3;1;0,time,30,-1,2,30.01,0,8.13,false,false,english,none,normal,false,false,false,,1680678222000
642d1d190e2987d5c618a75b,,91.97,96.31,97.57,77.39,230;5;1;2,time,30,-1,1,30.01,0,22.47,false,false,english,none,normal,false,false,false,,1680678169000
642d1b9f0e2987d5c612a93d,,99.97,96.23,104.77,81.96,250;3;2;0,time,30,-1,1,30.01,0,2.53,false,false,english,none,normal,false,false,false,,1680677791000
64273e7e0a366c07ed587002,,79.17,88.94,87.97,74.03,198;6;1;1,time,30,-1,1,30.01,0,1.26,false,false,english,none,normal,false,false,false,,1680293502000
6424af11d9bf936fd6c323aa,,85.17,96.4,87.17,79.78,213;2;1;0,time,30,-1,2,30.01,0,41.64,false,false,english,none,normal,false,false,false,,1680125713000
6422986ed9bf936fd62f1985,,79,95.25,81,70.17,395;2;0;1,time,60,-1,3,60,0,12.74,false,false,english,none,normal,false,false,false,,1679988846000
6422981ad9bf936fd62f16d7,true,85.79,94.81,90.38,74.76,429;8;2;1,time,60,-1,1,60.01,0,2.41,false,false,english,none,normal,false,false,false,,1679988762000
