_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
67904b8d49deeea627876c64,true,109.79,99.28,109.79,73.72,549;0;0;0,time,60,,0,60,0,0,false,false,english,none,normal,false,false,false,,1737509774189
66f838ac66c51bbe145aee0f,true,101.59,97.52,102.59,72.52,508;1;1;0,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,,1727543468000
64d12ccf7c9095b184e128ad,,112.23,97.81,119.25,72.26,128;1;0;0,words,25,-1,0,13.69,0,0,false,false,english,none,normal,false,false,false,,1691430095000
64d12c8a7c9095b184e12646,true,117.78,98.56,122.17,80.79,134;1;0;0,words,25,-1,0,13.65,0,0,false,false,english,none,normal,false,false,false,,1691430026000
64d12c247c9095b184e1230b,true,113.1,97.16,117.26,72.31,136;2;1;0,words,25,-1,0,14.43,0,0,false,false,english,none,normal,false,false,false,,1691429924000
64a0b01b73193c702ee8a82a,true,107.2,100,107.2,78.58,134;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1688252443000
64a0b00973193c702ee8a7d9,,77.6,88.5,90.4,48.41,97;8;1;6,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1688252425000
64a0aff673193c702ee55905,,84,92.8,100,65.32,105;4;1;2,time,15,-1,0,15,0,15,false,false,english,none,normal,false,false,false,,1688252406000
64a0afd073193c702ee209bb,,101.6,97.79,108.8,72.85,127;0;1;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1688252368000
64a0afbd73193c702ee20978,,92.8,96.83,100.8,54.71,116;2;0;2,time,15,-1,0,15,1,0,false,false,english,none,normal,false,false,false,,1688252349000
64a0af8873193c702ee2089d,,101.6,99.24,104.8,78.09,127;0;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1688252296000
64a0af6373193c702ee20810,,105.16,98.14,107.56,78.17,263;3;1;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688252259000
644dd0d18b42543b37aa5fa3,,120.51,100,120.51,80.09,47;0;0;0,words,10,-1,1,4.68,0,5.94,false,false,english,none,normal,false,false,false,,1682821329000
644dd0918b42543b37aa5e29,,120.25,100,120.25,86.74,48;0;0;0,words,10,-1,0,4.79,0,0,false,false,english,none,normal,false,false,false,,1682821265000
644dd0888b42543b37aa5dfa,,106.21,100,106.21,72.02,47;0;0;0,words,10,-1,0,5.31,0,5.66,false,false,english,none,normal,false,false,false,,1682821256000
644dd06f8b42543b37aa5d7a,,68.91,81.03,97.48,62.4,41;6;2;0,words,10,-1,0,7.14,0,0,false,false,english,none,normal,false,false,false,,1682821231000
641c8c2e864bf5f362eaaba8,,104.8,97.11,110.8,77.68,262;4;1;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1679592494000
641c8bd0864bf5f362eaa6cb,,107.96,97.55,114.36,75.82,270;4;0;1,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1679592400000
641c8b9c864bf5f362eaa3e8,true,113.2,97.29,118,83.58,283;5;1;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1679592348000
