_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
674e297c86fa6e365f04a253,,76.76,97.96,76.76,66.53,96;0;0;0,time,15,-1,2,15.01,0,14.08,false,false,english,none,normal,false,false,false,,1733175676000
674e0eed86fa6e365f0347d2,,65.59,95.7,71.19,67.11,82;0;0;1,time,15,-1,1,15,0,0.02,false,false,english,none,normal,false,false,false,,1733168877000
674c720b86fa6e365ff04f2d,,71.99,87.93,88.79,67.13,90;7;1;2,time,15,-1,1,15,0,1.71,false,false,english,none,normal,false,false,false,,1733063179000
674c719d86fa6e365ff049df,,75.85,92.79,85.43,72.18,95;2;0;1,time,15,-1,0,15.03,0,0,false,false,english,none,normal,false,false,false,,1733063069000
674c63aa86fa6e365fef9ea6,,80.72,97.2,80.72,75.52,101;0;0;0,time,15,-1,0,15.02,0,0,false,false,english,none,normal,false,false,false,,1733059498000
674c639886fa6e365fef9dcf,,70.39,88.6,89.59,68.57,88;6;1;1,time,15,-1,1,15,0,1.9,false,false,english,none,normal,false,false,false,,1733059480000
674b8c8c86fa6e365fe88576,,75.19,94.34,84.79,68.38,94;4;0;1,time,15,-1,4,15,0,8.37,false,false,english,none,normal,false,false,false,,1733004428000
674628e186fa6e365fb29c65,,80.79,93.69,85.59,70.89,101;2;0;0,time,15,-1,1,15,0,4.4,false,false,english,none,normal,false,false,false,,1732651233000
6746191086fa6e365fb1c541,,83.13,94.31,98.32,86.49,104;4;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1732647184000
6745f71e86fa6e365fafb25e,,75.99,87.6,92.78,76.71,95;6;1;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1732638494000
6744afb886fa6e365fa0ab8f,true,93.52,95.12,96.72,69.09,117;3;0;1,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1732554680000
674046df72e2e364f418fdff,,79.16,98.02,79.16,81.64,99;0;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1732265695000
674046c572e2e364f418fce7,true,87.15,98.2,87.15,70.48,109;0;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1732265669000
674046b172e2e364f418fc0f,true,85.59,99.07,85.59,71.22,107;0;0;0,time,15,-1,1,15,0,1.31,false,false,english,none,normal,false,false,false,,1732265649000
6716957050538de2c2ef051d,,42.38,81.69,52.78,26.58,53;5;0;1,time,15,-1,0,15.01,4,0,false,false,english,none,normal,false,false,false,,1729533296000
67113dbcda330b33d2fe704a,,82.36,94.69,87.15,71.38,103;0;1;0,time,15,-1,1,15.01,0,1.86,false,false,english,none,normal,false,false,false,,1729183164000
67113dabda330b33d2fe6efb,,63.16,84.85,70.35,60.59,79;2;3;0,time,15,-1,5,15.01,0,13.8,false,false,english,none,normal,false,false,false,,1729183147000
67113ce4da330b33d2fe6158,,76.78,95.24,80.78,70.49,96;1;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1729182948000
67113cbeda330b33d2fe5e7b,,67.19,86.27,76.79,66.39,84;6;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1729182910000
67103266da330b33d2f221b9,,76.79,96.15,80.79,70.46,96;0;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1729114726000
6702b8c83b43e6c05d83b68c,,36.75,88.46,36.75,58.07,46;0;0;0,time,15,-1,0,15.02,0,0,false,false,english,none,normal,false,false,false,,1728231624000
6702b8b43b43e6c05d83b58c,,26.39,87.23,34.39,55.12,33;0;1;1,time,15,-1,2,15,0,7.89,false,false,english,none,normal,false,false,false,,1728231604000
6702b87d3b43e6c05d83b2bc,,76.78,100,76.78,78.81,96;0;0;0,time,15,-1,8,15,0,24.56,false,false,english,none,normal,false,false,false,,1728231549000
66f67d8466c51bbe14478abf,,83.12,96.43,86.32,67.99,104;0;0;1,time,15,-1,3,15.01,0,9.47,false,false,english,none,normal,false,false,false,,1727430020000
66a6a4084e481c00f5aa4793,,72.39,94.3,73.59,65.56,181;1;0;0,time,30,-1,1,30.01,0,3.84,false,false,english,none,normal,false,false,false,,1722197000000
66a654024e481c00f5a79485,,73.19,94.92,75.99,71.19,183;1;1;0,time,30,-1,1,30.01,0,1.8,false,false,english,none,normal,false,false,false,,1722176514000
66a64fa04e481c00f5a7697d,,76.76,90.61,83.56,71.06,192;12;1;2,time,30,-1,0,30.02,0,0,false,false,english,none,normal,false,false,false,,1722175392000
66a3dbdd4e481c00f595fe18,,64.33,91.8,69.13,66.05,161;3;1;1,time,30,-1,0,30.03,0,0,false,false,english,none,normal,false,false,false,,1722014684000
66a16ff77ad1c2217eea4429,,73.99,95.98,77.59,71.54,185;1;0;1,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1721855991000
66a143ac7ad1c2217ee8c918,,69.99,93.3,75.99,70.46,175;6;2;0,time,30,-1,2,30,0,23.66,false,false,english,none,normal,false,false,false,,1721844652000
66a014a17ad1c2217ede1fff,,65.19,92.35,77.18,66.3,163;7;0;2,time,30,-1,1,30.01,0,2.95,false,false,english,none,normal,false,false,false,,1721767073000
669f91ac7ad1c2217ed8cb4f,,63.58,87.75,78.78,73.05,159;10;2;4,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1721733548000
669f75367ad1c2217ed7c43e,,64.77,85.85,77.17,61.1,162;11;0;5,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1721726261000
669d5afc82df16123dd5894c,,57.19,88.71,70.39,72.88,143;8;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1721588476000
669cbffa82df16123dd06ddb,,60.39,85.87,67.19,64.36,151;7;0;3,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1721548794000
669cbe6982df16123dd06288,,57.19,85.26,70.79,74.11,143;9;1;1,time,30,-1,1,30.01,0,1.76,false,false,english,none,normal,false,false,false,,1721548393000
669cbe3c82df16123dd0612a,,69.56,92.39,75.96,72.57,174;5;1;0,time,30,-1,0,30.02,0,0,false,false,english,none,normal,false,false,false,,1721548348000
669cb96682df16123dd03e8e,,71.6,96.37,74.8,64.18,179;2;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1721547110000
669c715482df16123dce5b7c,,32.39,82.69,33.98,49.2,81;0;0;1,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1721528660000
669bc95882df16123dca0730,,67.2,92.31,75.2,74.96,168;4;0;3,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1721485656000
669bc93282df16123dca05ba,,71.15,93.78,79.94,73.15,178;2;2;1,time,30,-1,0,30.02,0,0,false,false,english,none,normal,false,false,false,,1721485618000
66994fe382df16123db76c06,,77.19,95.57,77.19,68.84,193;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1721323491000
6692e463c245cfb75683d574,,77.58,96.08,79.98,74.7,194;3;0;1,time,30,-1,2,30.01,0,2.64,false,false,english,none,normal,false,false,false,,1720902755000
6692e3eac245cfb75683d28a,,82.38,98.57,82.38,74.18,206;0;0;0,time,30,-1,1,30.01,0,0.76,false,false,english,none,normal,false,false,false,,1720902634000
