_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
678afef649deeea627532190,,63.4,98.62,63.4,75.2,214;0;0;0,custom,custom,,0,40.5,0,0,false,false,english,none,normal,false,false,false,,1737162486098
678afec849deeea62753203e,,63.35,98.71,63.35,73.72,763;0;0;0,custom,custom,,0,144.53,0,0,false,false,english,none,normal,false,false,false,,1737162439185
678afe1c49deeea627531b91,,68.16,98.79,68.16,75.6,2287;0;0;0,quote,6725,3,0,402.62,0,0,false,false,english,none,normal,false,false,false,,1737162266783
678afc7f49deeea62753103c,,71.05,100,71.05,77.6,84;0;0;0,custom,custom,,0,14.19,0,0,false,false,english,none,normal,false,false,false,,1737161854443
678afc6c49deeea627530fc2,,72.08,98.71,72.08,80.55,153;0;0;0,custom,custom,,0,25.47,0,0,false,false,english,none,normal,false,false,false,,1737161836233
678afc3f49deeea627530e7a,,78.56,98.65,78.56,78.4,660;0;0;0,quote,1626,3,0,100.82,0,0,false,false,english,none,normal,false,false,false,,1737161790200
678ae40a49deeea627527126,true,103.05,100,103.05,76.22,130;0;0;0,words,25,,1,15.14,0,1.01,false,false,english,none,normal,false,false,false,,1737155593375
678ae3e149deeea627526ff1,true,96.79,100,96.79,86.07,242;0;0;0,time,30,,0,30,0,0,false,false,english,none,normal,false,false,false,,1737155552724
678ae36f49deeea627526bca,true,74.28,99.03,74.28,74.8,610;0;0;0,words,100,,3,98.55,0,131.73,true,true,english_1k,none,normal,false,false,false,,1737155438545
678ae1b649deeea627525d3c,true,64.98,98.48,64.98,67.88,583;0;0;0,words,100,,0,107.67,1,0,true,true,english_1k,none,normal,false,false,false,,1737154997858
678ae0ec49deeea6275256bb,,72.55,98.91,72.55,76.58,632;0;0;0,words,100,,2,104.54,0,3.96,true,false,english_1k,none,normal,false,false,false,,1737154795514
677c4dc833ee27aa12a79561,,80.8,99.84,80.8,81.23,610;0;0;0,words,100,-1,0,90.6,0,0,true,false,english_1k,none,normal,false,false,false,,1736199624000
674a6c5e86fa6e365fde1e93,true,67.12,98.15,67.12,80.95,106;0;0;0,words,10,-1,1,18.95,0,1,true,false,english_450k,none,expert,false,false,false,,1732930654000
674a6bd786fa6e365fde1b10,true,58.83,98.5,58.83,71.33,261;0;0;0,words,25,-1,0,53.24,0,0,true,false,english_450k,none,expert,false,false,false,,1732930519000
674a6b5786fa6e365fde180c,true,55.46,98.67,55.46,71.97,592;0;0;0,words,50,-1,0,128.09,0,0,true,false,english_450k,none,expert,false,false,false,,1732930391000
674a6ac586fa6e365fde1476,true,53.37,98.31,53.37,72.99,1104;0;0;0,words,100,-1,0,248.21,2,0,true,false,english_450k,none,expert,false,false,false,,1732930245000
6740bd5172e2e364f41f84f3,true,55.48,98.41,55.48,70.91,186;0;0;0,words,25,-1,1,40.23,0,11,false,false,pig_latin,none,expert,false,false,false,,1732296017000
6740bce772e2e364f41f7dd6,,65.14,98.85,65.14,81.59,86;0;0;0,quote,11,0,1,15.84,0,1.01,false,false,latin,none,expert,false,false,false,,1732295911000
6740bccb72e2e364f41f7bf8,,56.93,97.61,56.93,76.84,204;0;0;0,quote,14,1,0,43,1,0,false,false,latin,none,expert,false,false,false,,1732295883000
6740bc8f72e2e364f41f77d1,,58.91,99.07,58.91,73.98,106;0;0;0,quote,9,1,0,21.59,0,0,false,false,latin,none,expert,false,false,false,,1732295823000
673bfa8bcb87917df2a6c615,true,55.07,98.51,55.07,74.1,1059;0;0;0,words,100,-1,4,230.75,1,259.8,false,false,english_450k,none,expert,false,false,false,,1731984011000
673a4370cb87917df292344b,,83.66,100,83.66,79.38,169;0;0;0,quote,3124,1,0,24.24,0,0,false,false,english,none,expert,false,false,false,,1731871600000
673a4346cb87917df29232b6,,75.61,97.45,75.61,71.49,191;0;0;0,quote,2209,1,1,30.31,0,37.91,false,false,english,none,expert,false,false,false,,1731871558000
673a42cdcb87917df2922e46,,87.13,99.36,87.13,77.14,155;0;0;0,quote,689,1,1,21.35,0,12.49,false,false,english,none,expert,false,false,false,,1731871437000
673a4270cb87917df2922aa9,true,81.7,100,81.7,87.79,74;0;0;0,words,10,-1,2,10.87,0,2.01,true,false,english_10k,none,expert,false,false,false,,1731871344000
673a424bcb87917df2922941,,54.73,98.98,54.73,75.85,97;0;0;0,custom,custom,-1,0,21.27,0,0,false,false,english_10k,none,expert,false,false,false,,1731871307000
673a420ccb87917df29226bb,true,74.21,98.19,74.21,73.64,217;0;0;0,words,25,-1,2,35.09,0,1.02,true,false,english_10k,none,expert,false,false,false,,1731871244000
673a41d0cb87917df2922482,true,88.53,100,88.53,91.45,94;0;0;0,custom,custom,-1,0,12.74,0,0,false,false,english_10k,none,expert,false,false,false,,1731871184000
673a41b2cb87917df2922365,,65.65,99.24,65.65,76.33,261;0;0;0,custom,custom,-1,0,47.71,0,0,false,false,english_10k,none,expert,false,false,false,,1731871154000
673a4162cb87917df2922065,true,73.36,98.62,73.36,74.76,429;0;0;0,words,50,-1,2,70.18,0,5.2,true,false,english_10k,none,expert,false,false,false,,1731871074000
67394475cb87917df2886e8a,true,68.41,99.42,68.41,70.05,170;0;0;0,custom,custom,-1,0,29.82,0,0,false,false,english_10k,none,expert,false,false,false,,1731806325000
67394453cb87917df2886dc3,true,60.8,99.31,60.8,73.14,574;0;0;0,custom,custom,-1,0,113.29,1,0,false,false,english_10k,none,expert,false,false,false,,1731806291000
673943decb87917df2886add,true,66.31,98.53,66.31,76.4,805;0;0;0,words,100,-1,0,145.67,0,0,true,false,english_10k,none,expert,false,false,false,,1731806174000
67394313cb87917df28865a2,true,81.65,98.33,81.65,82.37,59;0;0;0,custom,custom,-1,0,8.67,0,0,false,false,english_1k,none,expert,false,false,false,,1731805971000
67394302cb87917df288652e,true,81.88,99.31,81.88,84.12,289;0;0;0,words,50,-1,0,42.36,0,0,true,false,english_1k,none,expert,false,false,false,,1731805954000
673942a3cb87917df28862b8,,81.7,99.35,81.7,78.23,153;0;0;0,quote,3693,1,0,22.47,0,0,false,false,english,none,expert,false,false,false,,1731805859000
67394280cb87917df28861e4,,83.57,100,83.57,81.67,234;0;0;0,quote,598,1,1,33.6,0,16.85,false,false,english,none,expert,false,false,false,,1731805824000
67394228cb87917df2885fdf,,69.21,96.82,69.21,66.57,152;0;0;0,quote,1537,1,2,26.35,0,39.33,false,false,english,none,expert,false,false,false,,1731805736000
673941c7cb87917df2885d7a,,79.88,98.26,79.88,79.28,113;0;0;0,quote,183,1,0,16.98,0,0,false,false,english,none,expert,false,false,false,,1731805639000
673941adcb87917df2885cc3,,76.62,99.47,76.62,74.69,187;0;0;0,quote,337,1,0,29.29,0,0,false,false,english,none,expert,false,false,false,,1731805613000
67394187cb87917df2885bd0,,73.06,97.62,73.06,77.44,164;0;0;0,quote,1136,1,0,26.94,0,0,false,false,english,none,expert,false,false,false,,1731805575000
6739416acb87917df2885b0f,,85.92,100,85.92,79.87,186;0;0;0,quote,1589,1,2,25.98,0,1.5,false,false,english,none,expert,false,false,false,,1731805546000
67380efccb87917df27d1e3f,,75.56,99.66,75.56,77.71,296;0;0;0,quote,3366,1,1,47.01,0,34.29,false,false,english,none,expert,false,false,false,,1731727100000
67380e54cb87917df27d193b,,78.79,100,78.79,80.29,245;0;0;0,quote,1005,1,3,37.32,0,10.03,false,false,english,none,expert,false,false,false,,1731726932000
67380e0bcb87917df27d1718,,72.98,98.73,72.98,70.55,233;0;0;0,quote,6560,1,0,38.31,0,0,false,false,english,none,expert,false,false,false,,1731726859000
67380dcfcb87917df27d155c,true,62.94,100,63.31,64.43,340;0;0;0,zen,zen,-1,0,64.83,0,0,false,false,english_1k,none,expert,false,false,false,,1731726799000
67380cdfcb87917df27d0db5,true,57.75,100,57.91,59.12,350;0;0;0,zen,zen,-1,1,72.73,1,6.71,false,false,english_1k,none,expert,false,false,false,,1731726559000
